,epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_h1n1_2009_positive_tests,flu_ah1_positive_tests,flu_ah3_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,other_hpiv_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
36,201434,2014-08-23,2014-08-28,nation,ca,1265.0,3.0,0.0,0.0,6.0,3.0,1284.0,7.0,1187.0,15.0,5.0,20.0,0.0,0.0,1198.0,19.0,1014.0,1.0,635.0,145.0,813.0,0.0
0,201433,2014-08-16,2014-08-21,lab,nl,11.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,,,,
1,201433,2014-08-16,2014-08-21,lab,pe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,201433,2014-08-16,2014-08-21,lab,ns,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0
3,201433,2014-08-16,2014-08-21,lab,nb,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,201433,2014-08-16,2014-08-21,region,atlantic,28.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,37.0,0.0,0.0,2.0,0.0,0.0,37.0,1.0,19.0,0.0,8.0,1.0,8.0,0.0
5,201433,2014-08-16,2014-08-21,lab,région nord-est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
6,201433,2014-08-16,2014-08-21,lab,québec-chaudière-appalaches,52.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,81.0,4.0,46.0,0.0,,,46.0,0.0
7,201433,2014-08-16,2014-08-21,lab,centre-du-québec,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0
8,201433,2014-08-16,2014-08-21,lab,montréal-laval,234.0,0.0,0.0,0.0,1.0,0.0,229.0,1.0,211.0,0.0,1.0,4.0,0.0,0.0,226.0,6.0,156.0,0.0,,,151.0,0.0
9,201433,2014-08-16,2014-08-21,lab,ouest du québec,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
10,201433,2014-08-16,2014-08-21,lab,montérégie,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
11,201433,2014-08-16,2014-08-21,region,qc,307.0,0.0,0.0,0.0,1.0,0.0,329.0,1.0,295.0,0.0,1.0,5.0,0.0,0.0,311.0,10.0,202.0,0.0,,,197.0,0.0
