epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201633,2016-08-20,2016-08-25,lab,phol toronto,137.0,0.0,0.0,1.0,1.0,136.0,3.0,136.0,2.0,0.0,9.0,1.0,0.0,136.0,0.0,134.0,0.0,34.0,3.0,32.0,0.0
201633,2016-08-20,2016-08-25,lab,sick kids hospital toronto,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,18.0,50.0,0.0
201633,2016-08-20,2016-08-25,lab,sunnybrook womens college hsc,35.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,35.0,0.0,35.0,1.0,35.0,0.0
201633,2016-08-20,2016-08-25,lab,sault ste marie phl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201633,2016-08-20,2016-08-25,lab,timmins phl,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
201633,2016-08-20,2016-08-25,lab,st josephs london,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0
201633,2016-08-20,2016-08-25,lab,london phl,19.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,19.0,0.0,3.0,1.0,3.0,0.0
201633,2016-08-20,2016-08-25,lab,orillia phl,14.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,6.0,2.0,6.0,0.0
201633,2016-08-20,2016-08-25,lab,thunder bay phl,7.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0
201633,2016-08-20,2016-08-25,lab,sudbury phl,7.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,5.0,0.0,2.0,0.0
201633,2016-08-20,2016-08-25,lab,hamilton phl,37.0,0.0,1.0,1.0,0.0,35.0,0.0,35.0,0.0,1.0,3.0,0.0,0.0,35.0,0.0,35.0,0.0,12.0,2.0,12.0,0.0
201633,2016-08-20,2016-08-25,lab,peterborough phl,28.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,28.0,0.0,14.0,0.0,14.0,0.0
201633,2016-08-20,2016-08-25,region,on,536.0,0.0,1.0,2.0,1.0,534.0,4.0,376.0,3.0,1.0,19.0,1.0,0.0,389.0,5.0,370.0,0.0,206.0,34.0,181.0,0.0
201633,2016-08-20,2016-08-25,lab,mb,85.0,0.0,0.0,0.0,0.0,84.0,3.0,68.0,0.0,0.0,1.0,0.0,0.0,68.0,4.0,29.0,0.0,68.0,6.0,29.0,2.0
201633,2016-08-20,2016-08-25,lab,regina,148.0,0.0,0.0,0.0,0.0,148.0,10.0,148.0,0.0,0.0,5.0,1.0,0.0,148.0,5.0,148.0,0.0,148.0,45.0,148.0,0.0
201633,2016-08-20,2016-08-25,lab,saskatoon,44.0,0.0,0.0,1.0,0.0,44.0,1.0,44.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,44.0,0.0,44.0,13.0,44.0,0.0
201633,2016-08-20,2016-08-25,lab,sk,192.0,0.0,0.0,1.0,0.0,192.0,11.0,192.0,0.0,0.0,6.0,1.0,0.0,192.0,5.0,192.0,0.0,192.0,58.0,192.0,0.0
201633,2016-08-20,2016-08-25,lab,ab,236.0,0.0,2.0,2.0,0.0,236.0,2.0,236.0,3.0,0.0,0.0,0.0,0.0,236.0,1.0,236.0,0.0,236.0,28.0,236.0,1.0
201633,2016-08-20,2016-08-25,region,prairies,513.0,0.0,2.0,3.0,0.0,512.0,16.0,496.0,3.0,0.0,7.0,1.0,0.0,496.0,10.0,457.0,0.0,496.0,92.0,457.0,3.0
201633,2016-08-20,2016-08-25,region,bc,134.0,2.0,1.0,3.0,0.0,134.0,0.0,102.0,0.0,0.0,9.0,0.0,0.0,102.0,0.0,102.0,0.0,102.0,17.0,102.0,0.0
201633,2016-08-20,2016-08-25,lab,yt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
201633,2016-08-20,2016-08-25,lab,nt,4.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
201633,2016-08-20,2016-08-25,lab,nu,20.0,0.0,0.0,0.0,0.0,20.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,0.0,17.0,3.0,17.0,3.0
201633,2016-08-20,2016-08-25,region,territories,25.0,0.0,0.0,1.0,0.0,25.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,24.0,0.0,21.0,3.0,21.0,3.0
201633,2016-08-20,2016-08-25,nation,ca,1735.0,2.0,4.0,11.0,1.0,1746.0,35.0,1489.0,6.0,3.0,45.0,2.0,0.0,1523.0,27.0,1320.0,1.0,858.0,150.0,1092.0,8.0
201632,2016-08-13,2016-08-18,lab,nl,42.0,0.0,0.0,0.0,0.0,42.0,1.0,42.0,0.0,0.0,2.0,0.0,0.0,42.0,2.0,42.0,1.0,42.0,6.0,,
201632,2016-08-13,2016-08-18,lab,pe,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201632,2016-08-13,2016-08-18,lab,ns,11.0,0.0,0.0,1.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0
201632,2016-08-13,2016-08-18,lab,nb,15.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201632,2016-08-13,2016-08-18,region,atlantic,69.0,0.0,0.0,1.0,0.0,66.0,1.0,62.0,0.0,0.0,3.0,0.0,0.0,62.0,2.0,51.0,1.0,51.0,7.0,9.0,0.0
201632,2016-08-13,2016-08-18,lab,région nord est,11.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201632,2016-08-13,2016-08-18,lab,québec chaudière appalaches,43.0,0.0,0.0,0.0,0.0,52.0,1.0,50.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,43.0,0.0,,,43.0,0.0
201632,2016-08-13,2016-08-18,lab,centre du québec,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
